epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1685,2.01226,3.32231,2.09983,0.4101,0.10759,0.04237,0.01522,2.29074,3.55905,2.19616,0.000332643,0.000332643,0.0670683
2,155.784,1.93697,2.85174,2.04189,0.54653,0.14141,0.12866,0.05501,2.16937,2.88052,2.33017,0.000660482,0.000660482,0.0340628
3,229.328,1.9193,2.67504,2.00682,0.5862,0.21096,0.18184,0.07585,2.08493,2.65265,2.25566,0.000982821,0.000982821,0.00105183
4,302.886,1.88118,2.63997,1.99179,0.57335,0.19993,0.19397,0.0919,2.10622,2.88251,2.2186,0.00097525,0.00097525,0.00097525
5,377.282,1.828,2.50621,1.93875,0.60174,0.17502,0.19078,0.08853,2.02674,2.58202,2.19064,0.000967,0.000967,0.000967
6,451.212,1.80523,2.45925,1.92252,0.33229,0.21471,0.24769,0.12235,1.94843,2.34915,2.04546,0.00095875,0.00095875,0.00095875
7,522.965,1.77988,2.36464,1.89283,0.3616,0.24229,0.27618,0.13547,2.03515,2.29532,2.14293,0.0009505,0.0009505,0.0009505
8,594.105,1.77959,2.31814,1.88689,0.31378,0.2327,0.23407,0.12213,1.99955,2.54115,2.11718,0.00094225,0.00094225,0.00094225
9,667.424,1.7487,2.27522,1.8618,0.36274,0.23934,0.2872,0.14373,1.94762,2.14445,2.0355,0.000934,0.000934,0.000934
10,740.69,1.74714,2.21343,1.84072,0.36307,0.25828,0.2797,0.1419,1.92503,2.25702,2.02728,0.00092575,0.00092575,0.00092575
11,814.526,1.74437,2.18733,1.83603,0.5452,0.26934,0.31329,0.16272,1.97371,2.2175,2.1075,0.0009175,0.0009175,0.0009175
12,888.341,1.72356,2.15695,1.82578,0.42291,0.35653,0.3412,0.17717,1.89432,2.16899,1.99802,0.00090925,0.00090925,0.00090925
13,962.076,1.69383,2.09131,1.80889,0.4481,0.21357,0.28024,0.15534,1.91498,2.53557,2.04694,0.000901,0.000901,0.000901
14,1033.81,1.69666,2.05667,1.79258,0.39554,0.18551,0.22576,0.12395,1.85561,2.7713,1.97677,0.00089275,0.00089275,0.00089275
15,1103.54,1.67056,2.01826,1.78174,0.31483,0.3643,0.32306,0.17801,1.87645,2.09426,1.98137,0.0008845,0.0008845,0.0008845
16,1171.65,1.68192,2.0363,1.78091,0.50247,0.21231,0.29387,0.16481,1.84824,2.35161,1.95407,0.00087625,0.00087625,0.00087625
17,1237.7,1.6727,1.99907,1.76254,0.35831,0.29593,0.30415,0.16747,1.88095,2.21336,1.96275,0.000868,0.000868,0.000868
18,1303.12,1.66856,1.99803,1.75544,0.40931,0.27592,0.33256,0.17707,1.91075,2.28829,1.99501,0.00085975,0.00085975,0.00085975
19,1368.96,1.63701,1.9374,1.73477,0.46137,0.28747,0.32753,0.18175,1.83141,2.10623,1.90665,0.0008515,0.0008515,0.0008515
20,1436.04,1.6526,1.92692,1.73409,0.55554,0.28372,0.32997,0.1932,1.82329,2.38855,1.93111,0.00084325,0.00084325,0.00084325
21,1502.89,1.62323,1.86497,1.72329,0.43912,0.28823,0.33927,0.1834,1.89006,2.23066,1.97818,0.000835,0.000835,0.000835
22,1569.07,1.62541,1.87434,1.72687,0.46537,0.31494,0.33032,0.17752,1.96069,2.31196,2.05777,0.00082675,0.00082675,0.00082675
23,1635.03,1.61143,1.85759,1.71123,0.52338,0.27948,0.32596,0.19311,1.85092,2.39363,1.96241,0.0008185,0.0008185,0.0008185
24,1701.06,1.6044,1.81555,1.70588,0.48505,0.26888,0.34007,0.19816,1.84877,2.3296,1.93354,0.00081025,0.00081025,0.00081025
25,1767.3,1.5925,1.79782,1.68398,0.5518,0.28196,0.31705,0.18696,1.78588,2.5173,1.89647,0.000802,0.000802,0.000802
26,1833.44,1.59744,1.79094,1.6979,0.55418,0.28973,0.36226,0.20519,1.87349,2.24233,2.00736,0.00079375,0.00079375,0.00079375
27,1899.76,1.58695,1.75355,1.68623,0.55482,0.25986,0.33772,0.19201,1.80607,2.09672,1.89476,0.0007855,0.0007855,0.0007855
28,1966.1,1.56603,1.74022,1.67385,0.57148,0.3172,0.38175,0.21399,1.81036,2.21666,1.91879,0.00077725,0.00077725,0.00077725
29,2032.91,1.56347,1.70467,1.67111,0.57182,0.31115,0.36448,0.20861,1.89984,2.2732,1.98821,0.000769,0.000769,0.000769
30,2099.68,1.57274,1.71644,1.67656,0.5217,0.4036,0.39823,0.22904,1.93396,2.17233,2.03094,0.00076075,0.00076075,0.00076075
31,2166.04,1.5631,1.69982,1.65905,0.54575,0.3439,0.37299,0.20841,1.83992,2.22957,1.92703,0.0007525,0.0007525,0.0007525
32,2232.55,1.57028,1.69553,1.66142,0.51806,0.34541,0.39161,0.23011,1.7739,2.12509,1.87562,0.00074425,0.00074425,0.00074425
33,2298.97,1.5533,1.68021,1.64741,0.48099,0.36547,0.35552,0.20723,1.83761,2.38261,1.95452,0.000736,0.000736,0.000736
34,2365.21,1.54529,1.64456,1.63444,0.4216,0.36108,0.34726,0.20501,1.82976,2.29457,1.92652,0.00072775,0.00072775,0.00072775
35,2431.91,1.53459,1.64229,1.64273,0.50331,0.37813,0.36406,0.21621,1.83659,2.32004,1.92419,0.0007195,0.0007195,0.0007195
36,2498.18,1.54093,1.64106,1.6445,0.58647,0.36121,0.39099,0.2234,1.85741,2.20954,1.93556,0.00071125,0.00071125,0.00071125
37,2564.46,1.5265,1.61962,1.63271,0.47455,0.3605,0.36838,0.22158,1.76096,2.17207,1.86791,0.000703,0.000703,0.000703
38,2631.18,1.50766,1.56716,1.61428,0.55373,0.36231,0.41304,0.23741,1.82553,2.02698,1.91855,0.00069475,0.00069475,0.00069475
39,2697.86,1.50291,1.57373,1.61234,0.5028,0.37749,0.40248,0.22997,1.8093,2.08086,1.91815,0.0006865,0.0006865,0.0006865
40,2764.4,1.51503,1.56672,1.61257,0.51926,0.40087,0.42665,0.25218,1.81123,1.93724,1.87105,0.00067825,0.00067825,0.00067825
41,2830.53,1.48688,1.54349,1.60085,0.60666,0.35116,0.4026,0.23417,1.83334,2.04425,1.92353,0.00067,0.00067,0.00067
42,2897.18,1.47157,1.4934,1.58172,0.47631,0.38875,0.39785,0.22727,1.85721,2.13478,1.94196,0.00066175,0.00066175,0.00066175
43,2964.77,1.48874,1.49593,1.584,0.67544,0.28454,0.37447,0.22253,1.80523,2.25042,1.89806,0.0006535,0.0006535,0.0006535
