epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2388,1.66247,2.28251,0.00952,0.01635,0.65257,0.15484,0.14305,0.07941,1.47104,1.84864,0.01496,0.0008,0.000331804,0.000331804,0.0671514
2,136.541,1.4974,1.6379,0.00883,0.00068,0.19641,0.25482,0.19839,0.11967,1.30654,1.39538,0.01158,0.00052,0.00065965,0.00065965,0.0341459
3,185.78,1.4103,1.45452,0.00869,0.00026,0.29459,0.19453,0.22497,0.14129,1.19935,1.29862,0.01133,0.00027,0.000981996,0.000981996,0.0011349
4,234.278,1.3612,1.35049,0.00837,0.00018,0.53623,0.2842,0.24685,0.15434,1.14452,1.17865,0.01137,0.00027,0.00097525,0.00097525,0.00097525
5,283.019,1.31908,1.25574,0.0087,0.00017,0.33749,0.38708,0.29279,0.19698,1.11054,0.97989,0.01098,0.00018,0.000967,0.000967,0.000967
6,331.147,1.29105,1.1971,0.0083,0.00013,0.27319,0.32801,0.28138,0.18809,1.08485,1.07144,0.01074,0.0003,0.00095875,0.00095875,0.00095875
7,380.359,1.28282,1.15843,0.00835,0.00014,0.30086,0.45098,0.30569,0.20394,1.06629,1.01208,0.01043,0.00014,0.0009505,0.0009505,0.0009505
8,428.979,1.25792,1.12528,0.00839,0.00011,0.31665,0.38596,0.39716,0.26528,1.06585,0.92825,0.01092,9e-05,0.00094225,0.00094225,0.00094225
9,477.153,1.22929,1.08645,0.00834,0.00011,0.34395,0.40127,0.36217,0.24894,1.05811,0.92745,0.0105,0.00011,0.000934,0.000934,0.000934
10,526.074,1.23486,1.05702,0.00836,9e-05,0.41073,0.36377,0.36289,0.23899,1.04795,0.95359,0.01089,0.00011,0.00092575,0.00092575,0.00092575
11,574.707,1.23442,1.06544,0.00795,0.00011,0.40637,0.44314,0.38581,0.2649,1.04162,0.8898,0.01037,9e-05,0.0009175,0.0009175,0.0009175
12,623.232,1.20656,1.02704,0.00833,0.00011,0.45743,0.55263,0.41412,0.28489,1.00557,0.90093,0.01076,0.0001,0.00090925,0.00090925,0.00090925
13,672.378,1.21225,0.99851,0.00796,8e-05,0.43232,0.43654,0.4006,0.28834,1.02348,0.8269,0.01064,0.00013,0.000901,0.000901,0.000901
14,721.788,1.19469,0.99614,0.00834,0.00011,0.57024,0.40217,0.43784,0.30811,1.02114,0.76839,0.01089,0.0002,0.00089275,0.00089275,0.00089275
15,770.805,1.18401,0.96968,0.00835,0.00013,0.53338,0.44337,0.50891,0.34094,1.03403,0.82849,0.01067,8e-05,0.0008845,0.0008845,0.0008845
16,820.014,1.17434,0.96187,0.00811,9e-05,0.44758,0.45279,0.44151,0.31494,1.00426,0.79222,0.01025,8e-05,0.00087625,0.00087625,0.00087625
17,868.908,1.16985,0.94335,0.00789,0.0001,0.47008,0.55717,0.48523,0.33598,1.03161,0.82979,0.01081,9e-05,0.000868,0.000868,0.000868
18,917.315,1.14949,0.92302,0.0081,9e-05,0.48801,0.57131,0.49337,0.34067,1.00326,0.75338,0.01089,0.0001,0.00085975,0.00085975,0.00085975
19,966.546,1.17388,0.9123,0.0078,8e-05,0.48632,0.47431,0.42401,0.30079,1.0015,0.77523,0.01093,6e-05,0.0008515,0.0008515,0.0008515
20,1015.19,1.1554,0.90696,0.00813,9e-05,0.55753,0.52402,0.54326,0.36868,1.00192,0.727,0.01057,0.00013,0.00084325,0.00084325,0.00084325
21,1064.43,1.14338,0.88145,0.00771,7e-05,0.4869,0.69826,0.58957,0.42917,0.99162,0.71794,0.01081,8e-05,0.000835,0.000835,0.000835
22,1113.54,1.13425,0.88013,0.00803,9e-05,0.51043,0.57789,0.52587,0.351,0.98841,0.75049,0.01072,0.0003,0.00082675,0.00082675,0.00082675
23,1162.1,1.13188,0.89483,0.00805,0.00011,0.57629,0.45578,0.54439,0.39834,0.98188,0.75468,0.01031,5e-05,0.0008185,0.0008185,0.0008185
24,1211.12,1.12407,0.86115,0.00806,6e-05,0.42685,0.52409,0.55511,0.43325,0.98447,0.72182,0.01049,6e-05,0.00081025,0.00081025,0.00081025
25,1260.14,1.12621,0.85313,0.0081,5e-05,0.56814,0.48764,0.45252,0.33406,0.95398,0.74079,0.01044,6e-05,0.000802,0.000802,0.000802
26,1308.59,1.11618,0.85207,0.00792,6e-05,0.52307,0.49394,0.48334,0.34887,0.96145,0.74809,0.01064,0.00011,0.00079375,0.00079375,0.00079375
27,1357.46,1.11161,0.83952,0.00803,8e-05,0.51243,0.48369,0.54248,0.40819,0.95468,0.71992,0.01073,7e-05,0.0007855,0.0007855,0.0007855
28,1406.35,1.11369,0.83046,0.00785,7e-05,0.51225,0.49439,0.54396,0.41748,0.97073,0.71361,0.01114,5e-05,0.00077725,0.00077725,0.00077725
29,1455.63,1.12669,0.82363,0.00768,6e-05,0.6211,0.51388,0.53876,0.37093,0.97595,0.74537,0.01051,6e-05,0.000769,0.000769,0.000769
30,1504.39,1.11126,0.82225,0.00785,6e-05,0.58285,0.44965,0.56579,0.43034,0.94825,0.71969,0.01012,7e-05,0.00076075,0.00076075,0.00076075
31,1553.25,1.10036,0.81123,0.00799,5e-05,0.5522,0.63202,0.60851,0.45624,0.94014,0.67708,0.01078,5e-05,0.0007525,0.0007525,0.0007525
32,1601.86,1.08983,0.79406,0.00794,4e-05,0.50816,0.61738,0.56891,0.40683,0.95676,0.69079,0.01043,9e-05,0.00074425,0.00074425,0.00074425
33,1650.21,1.09758,0.79452,0.0078,6e-05,0.57825,0.58157,0.55672,0.41313,0.94873,0.66461,0.01089,9e-05,0.000736,0.000736,0.000736
34,1698.19,1.10019,0.79049,0.00768,6e-05,0.51624,0.6977,0.56641,0.42172,0.9503,0.67873,0.01052,6e-05,0.00072775,0.00072775,0.00072775
35,1747.28,1.08977,0.78051,0.00804,5e-05,0.57722,0.62804,0.60641,0.46242,0.96616,0.66209,0.01103,4e-05,0.0007195,0.0007195,0.0007195
36,1796.44,1.07878,0.77672,0.00796,4e-05,0.66872,0.57858,0.66807,0.49587,0.94997,0.6756,0.01083,4e-05,0.00071125,0.00071125,0.00071125
37,1845.76,1.10294,0.77538,0.00776,6e-05,0.69608,0.52811,0.5826,0.40975,0.94372,0.6726,0.01081,6e-05,0.000703,0.000703,0.000703
38,1894.53,1.07024,0.77777,0.00797,5e-05,0.57668,0.57672,0.62095,0.45546,0.93701,0.66826,0.01025,3e-05,0.00069475,0.00069475,0.00069475
39,1944.51,1.07828,0.76264,0.00776,5e-05,0.75091,0.54135,0.61204,0.45378,0.9326,0.72017,0.01022,4e-05,0.0006865,0.0006865,0.0006865
40,1993.52,1.06806,0.75111,0.00806,4e-05,0.64111,0.50177,0.56932,0.42028,0.92387,0.61481,0.01035,4e-05,0.00067825,0.00067825,0.00067825
41,2042.54,1.06601,0.74548,0.00775,5e-05,0.62566,0.48276,0.54507,0.39731,0.93173,0.6352,0.01009,3e-05,0.00067,0.00067,0.00067
42,2091.68,1.06482,0.74974,0.00788,5e-05,0.67685,0.52786,0.58467,0.44625,0.93103,0.64735,0.0104,5e-05,0.00066175,0.00066175,0.00066175
43,2140.23,1.07141,0.75015,0.00788,4e-05,0.65157,0.59371,0.63111,0.45538,0.93578,0.63149,0.01083,4e-05,0.0006535,0.0006535,0.0006535
44,2188.82,1.07381,0.74464,0.00757,4e-05,0.51001,0.67494,0.61523,0.45305,0.94068,0.62787,0.01044,8e-05,0.00064525,0.00064525,0.00064525
45,2238.44,1.06161,0.73935,0.00775,4e-05,0.67375,0.65136,0.64204,0.48539,0.90825,0.63399,0.01024,5e-05,0.000637,0.000637,0.000637
46,2287.66,1.05374,0.72235,0.00794,4e-05,0.72724,0.65262,0.7108,0.54599,0.90393,0.61309,0.01052,3e-05,0.00062875,0.00062875,0.00062875
47,2336.68,1.0494,0.72388,0.00782,4e-05,0.76144,0.54834,0.71973,0.56592,0.92541,0.59958,0.01084,4e-05,0.0006205,0.0006205,0.0006205
48,2385.38,1.05171,0.72677,0.00781,4e-05,0.63374,0.51219,0.62709,0.4875,0.90978,0.63853,0.01072,6e-05,0.00061225,0.00061225,0.00061225
49,2434.91,1.05263,0.71128,0.00766,4e-05,0.56741,0.62887,0.70335,0.54628,0.94233,0.63081,0.01044,5e-05,0.000604,0.000604,0.000604
50,2483.41,1.04499,0.72321,0.00779,4e-05,0.72992,0.62671,0.67341,0.51578,0.93009,0.6509,0.01118,4e-05,0.00059575,0.00059575,0.00059575
51,2532.96,1.06977,0.71751,0.00745,4e-05,0.68805,0.687,0.64894,0.48339,0.92154,0.62466,0.01047,3e-05,0.0005875,0.0005875,0.0005875
52,2582.09,1.04403,0.71216,0.00785,4e-05,0.69809,0.60201,0.67331,0.52302,0.92173,0.64501,0.01009,5e-05,0.00057925,0.00057925,0.00057925
53,2631.38,1.04536,0.70001,0.00778,6e-05,0.67693,0.59482,0.63281,0.49152,0.9139,0.65637,0.01058,6e-05,0.000571,0.000571,0.000571
