epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9314,1.21841,2.62535,1.60405,0.42068,0.55186,0.41621,0.21778,1.60717,3.50069,2.3016,0.000332415,0.000332415,0.0670909
2,133.584,1.16903,1.9254,1.56509,0.44507,0.55332,0.48438,0.27767,1.31088,2.13021,1.96103,0.000660256,0.000660256,0.0340854
3,190.583,1.14433,1.66958,1.53648,0.53439,0.60075,0.56916,0.33306,1.34536,2.14993,1.9183,0.000982597,0.000982597,0.00107442
4,247.275,1.12324,1.55107,1.5093,0.59358,0.61579,0.60735,0.37569,1.29798,1.72752,1.8573,0.00097525,0.00097525,0.00097525
5,303.949,1.09378,1.46057,1.4913,0.6988,0.69734,0.71898,0.46029,1.21439,1.54912,1.74285,0.000967,0.000967,0.000967
6,360.475,1.07198,1.39501,1.47469,0.69447,0.67234,0.70824,0.44575,1.2753,1.49795,1.82613,0.00095875,0.00095875,0.00095875
7,416.804,1.0462,1.32375,1.449,0.70112,0.73727,0.74107,0.49549,1.0963,1.26551,1.65651,0.0009505,0.0009505,0.0009505
8,473.608,1.03039,1.26247,1.44496,0.76601,0.71583,0.76564,0.50716,1.15252,1.24031,1.70119,0.00094225,0.00094225,0.00094225
9,530.099,1.01209,1.22408,1.42167,0.74788,0.73533,0.74939,0.51709,1.06207,1.11954,1.62189,0.000934,0.000934,0.000934
10,586.489,0.9878,1.1895,1.40796,0.66176,0.70063,0.72894,0.49769,1.08951,1.29125,1.66997,0.00092575,0.00092575,0.00092575
11,642.979,0.994,1.1755,1.40839,0.80466,0.71528,0.77314,0.53524,1.09956,1.14923,1.67642,0.0009175,0.0009175,0.0009175
12,699.409,0.96135,1.11469,1.38548,0.76577,0.74621,0.79007,0.55003,1.05941,1.07715,1.63697,0.00090925,0.00090925,0.00090925
13,755.875,0.94864,1.07657,1.36676,0.80592,0.76461,0.81185,0.56119,1.05618,1.0298,1.58377,0.000901,0.000901,0.000901
14,812.1,0.94963,1.0821,1.37782,0.79604,0.78285,0.80709,0.56516,1.02992,0.9672,1.58692,0.00089275,0.00089275,0.00089275
15,868.44,0.91893,1.04268,1.34892,0.79578,0.77554,0.80989,0.56846,1.02897,1.00894,1.56466,0.0008845,0.0008845,0.0008845
16,925.23,0.91548,1.0066,1.35164,0.81986,0.74683,0.81386,0.56811,1.03185,0.97909,1.57809,0.00087625,0.00087625,0.00087625
17,981.677,0.9259,1.02083,1.35247,0.81032,0.74381,0.7994,0.56889,1.02131,1.00473,1.58493,0.000868,0.000868,0.000868
18,1038.09,0.904,0.98863,1.33123,0.80522,0.78472,0.82118,0.59244,0.98182,0.94617,1.54934,0.00085975,0.00085975,0.00085975
19,1094.61,0.90638,0.97381,1.33531,0.82029,0.77975,0.83166,0.59557,0.98764,0.90152,1.52455,0.0008515,0.0008515,0.0008515
20,1151.12,0.90014,0.96611,1.3271,0.79785,0.80512,0.83423,0.60454,0.96845,0.90794,1.53063,0.00084325,0.00084325,0.00084325
21,1207.6,0.89074,0.94463,1.32647,0.83321,0.79196,0.83718,0.61057,0.94998,0.85092,1.51722,0.000835,0.000835,0.000835
22,1263.93,0.89684,0.95677,1.32992,0.81052,0.81163,0.84015,0.60855,0.94622,0.8582,1.49821,0.00082675,0.00082675,0.00082675
23,1320.38,0.86162,0.91394,1.30094,0.82738,0.79775,0.84147,0.61292,0.95539,0.84979,1.48712,0.0008185,0.0008185,0.0008185
24,1376.96,0.87753,0.91001,1.31325,0.82919,0.78955,0.83565,0.6048,0.98148,0.88294,1.50348,0.00081025,0.00081025,0.00081025
25,1433.91,0.88126,0.90952,1.31332,0.81247,0.82005,0.84782,0.61735,0.9332,0.82336,1.50006,0.000802,0.000802,0.000802
26,1490.65,0.86777,0.89275,1.31291,0.87008,0.79299,0.86019,0.6259,0.9423,0.83033,1.45627,0.00079375,0.00079375,0.00079375
27,1547.14,0.84986,0.87399,1.29331,0.8433,0.80121,0.84886,0.63245,0.90851,0.79956,1.46138,0.0007855,0.0007855,0.0007855
28,1603.41,0.85168,0.85695,1.29805,0.84843,0.79815,0.85516,0.62874,0.92712,0.79763,1.4628,0.00077725,0.00077725,0.00077725
29,1659.74,0.85848,0.8771,1.30268,0.81401,0.81918,0.85265,0.62919,0.92672,0.82389,1.45765,0.000769,0.000769,0.000769
30,1715.96,0.85711,0.86701,1.29481,0.83427,0.82556,0.85787,0.62956,0.92968,0.80029,1.45075,0.00076075,0.00076075,0.00076075
31,1772.12,0.84184,0.85847,1.29614,0.8426,0.83393,0.86577,0.64645,0.89933,0.77055,1.43412,0.0007525,0.0007525,0.0007525
32,1828.17,0.84352,0.82023,1.27666,0.83148,0.82277,0.85921,0.63318,0.90145,0.80333,1.4327,0.00074425,0.00074425,0.00074425
33,1884.27,0.82938,0.83241,1.27049,0.86351,0.80738,0.87193,0.64079,0.89951,0.77555,1.43048,0.000736,0.000736,0.000736
34,1940.63,0.84195,0.84287,1.27839,0.84423,0.82999,0.86791,0.64941,0.88307,0.77334,1.40574,0.00072775,0.00072775,0.00072775
35,1997.09,0.83101,0.82034,1.27199,0.86635,0.79613,0.86631,0.64618,0.90025,0.77451,1.432,0.0007195,0.0007195,0.0007195
36,2053.48,0.81525,0.80206,1.2642,0.86812,0.81976,0.87224,0.64678,0.89492,0.75663,1.42639,0.00071125,0.00071125,0.00071125
37,2109.81,0.81897,0.81492,1.26972,0.83694,0.84242,0.86554,0.64884,0.87799,0.76938,1.40942,0.000703,0.000703,0.000703
38,2165.77,0.83257,0.81083,1.26714,0.85048,0.82213,0.85487,0.63614,0.89275,0.76016,1.43393,0.00069475,0.00069475,0.00069475
39,2222,0.8109,0.7954,1.26019,0.84255,0.82013,0.86841,0.654,0.89038,0.79005,1.41577,0.0006865,0.0006865,0.0006865
40,2278.43,0.81537,0.7854,1.2655,0.85996,0.82273,0.86751,0.65905,0.87757,0.74623,1.39344,0.00067825,0.00067825,0.00067825
41,2334.7,0.80285,0.76399,1.2489,0.87676,0.82829,0.88681,0.67009,0.87659,0.70082,1.41664,0.00067,0.00067,0.00067
42,2390.75,0.80362,0.74633,1.25039,0.86374,0.82471,0.87407,0.6658,0.86199,0.71299,1.38503,0.00066175,0.00066175,0.00066175
43,2446.9,0.81268,0.77746,1.25691,0.84522,0.85195,0.88187,0.6637,0.87752,0.71813,1.40834,0.0006535,0.0006535,0.0006535
44,2503.01,0.80194,0.7568,1.2558,0.86738,0.8256,0.87472,0.66337,0.86052,0.70131,1.38987,0.00064525,0.00064525,0.00064525
45,2559.52,0.789,0.74989,1.24085,0.89215,0.82036,0.88839,0.67548,0.86896,0.69109,1.38044,0.000637,0.000637,0.000637
46,2616.23,0.78041,0.71399,1.23284,0.87064,0.8369,0.88632,0.67644,0.86425,0.68405,1.38847,0.00062875,0.00062875,0.00062875
47,2672.61,0.79262,0.74597,1.24099,0.86939,0.84772,0.89169,0.68451,0.82572,0.65805,1.35951,0.0006205,0.0006205,0.0006205
48,2728.92,0.793,0.73166,1.24123,0.87181,0.83456,0.87943,0.67535,0.85873,0.68624,1.39413,0.00061225,0.00061225,0.00061225
49,2785.23,0.78668,0.73514,1.23776,0.87547,0.8421,0.89091,0.67681,0.8513,0.66866,1.37792,0.000604,0.000604,0.000604
50,2841.5,0.77571,0.72227,1.23374,0.87356,0.83882,0.88583,0.68952,0.81991,0.65559,1.34165,0.00059575,0.00059575,0.00059575
51,2897.8,0.76868,0.70868,1.22608,0.85519,0.82485,0.8786,0.67673,0.84995,0.68419,1.36034,0.0005875,0.0005875,0.0005875
52,2954.28,0.76817,0.70584,1.22764,0.86751,0.84947,0.89086,0.6886,0.83319,0.65393,1.36169,0.00057925,0.00057925,0.00057925
53,3011.03,0.77717,0.7176,1.24201,0.87352,0.85201,0.88553,0.68659,0.82045,0.65519,1.34635,0.000571,0.000571,0.000571
54,3067.57,0.76654,0.71085,1.22189,0.86457,0.85631,0.89001,0.69043,0.84227,0.64499,1.37114,0.00056275,0.00056275,0.00056275
55,3124.16,0.7684,0.70388,1.22984,0.86121,0.84939,0.8826,0.67836,0.86668,0.68257,1.37766,0.0005545,0.0005545,0.0005545
56,3180.83,0.76853,0.70148,1.22576,0.88673,0.85288,0.89622,0.69527,0.82403,0.6292,1.35265,0.00054625,0.00054625,0.00054625
57,3237.03,0.76014,0.69125,1.22203,0.86712,0.85506,0.8894,0.68661,0.83765,0.65724,1.36228,0.000538,0.000538,0.000538
58,3293.46,0.75318,0.68525,1.21498,0.88257,0.85697,0.8972,0.69605,0.81932,0.63867,1.35412,0.00052975,0.00052975,0.00052975
59,3350.05,0.76292,0.67967,1.21347,0.8784,0.84897,0.88962,0.68777,0.83651,0.66949,1.37078,0.0005215,0.0005215,0.0005215
