epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9955,1.57446,3.86685,1.73249,0.4092,0.14951,0.08578,0.04581,1.52507,3.52528,1.66825,0.000332011,0.000332011,0.067131
2,73.9622,1.55658,3.33717,1.74297,0.19869,0.25778,0.13771,0.06924,1.62008,3.19423,1.83923,0.000659855,0.000659855,0.0341255
3,109.375,1.55905,3.03953,1.75562,0.2389,0.36394,0.20265,0.10309,1.69974,2.69137,1.79068,0.000982199,0.000982199,0.00111447
4,144.875,1.56011,2.88872,1.74095,0.23171,0.34774,0.21485,0.12036,1.59034,2.64265,1.77728,0.00097525,0.00097525,0.00097525
5,180.408,1.52993,2.80502,1.71325,0.33492,0.27554,0.21965,0.11818,1.57261,2.65833,1.69294,0.000967,0.000967,0.000967
6,215.443,1.5127,2.76723,1.71783,0.25331,0.33166,0.25713,0.15432,1.43236,2.56754,1.62126,0.00095875,0.00095875,0.00095875
7,250.869,1.49397,2.68444,1.6939,0.23729,0.36419,0.25313,0.15063,1.40925,2.42457,1.59876,0.0009505,0.0009505,0.0009505
8,286.215,1.48163,2.6139,1.68215,0.19942,0.42793,0.28974,0.17874,1.41081,2.30266,1.59174,0.00094225,0.00094225,0.00094225
9,321.653,1.47178,2.55777,1.66653,0.24492,0.41183,0.30039,0.1819,1.40714,2.33015,1.58001,0.000934,0.000934,0.000934
10,356.923,1.47295,2.5517,1.67184,0.25515,0.46144,0.31301,0.18733,1.49263,2.32435,1.63602,0.00092575,0.00092575,0.00092575
11,392.092,1.43072,2.43921,1.64348,0.26435,0.40588,0.28537,0.17286,1.40187,2.34918,1.56935,0.0009175,0.0009175,0.0009175
12,427.452,1.45092,2.45929,1.64759,0.32844,0.52437,0.39488,0.23954,1.41883,1.98894,1.59498,0.00090925,0.00090925,0.00090925
13,462.825,1.41139,2.34059,1.62657,0.32733,0.4563,0.36629,0.228,1.41837,2.02114,1.56403,0.000901,0.000901,0.000901
14,498.129,1.43613,2.36762,1.63785,0.32427,0.52176,0.41181,0.2555,1.4221,1.99691,1.55336,0.00089275,0.00089275,0.00089275
15,533.443,1.41744,2.31948,1.63351,0.41721,0.37995,0.35605,0.2284,1.32718,2.01399,1.52537,0.0008845,0.0008845,0.0008845
16,568.723,1.39998,2.24963,1.60409,0.38408,0.53318,0.466,0.29689,1.36742,1.7689,1.53268,0.00087625,0.00087625,0.00087625
17,604.033,1.4137,2.26005,1.61876,0.5269,0.43772,0.45787,0.29133,1.37766,1.7605,1.54225,0.000868,0.000868,0.000868
18,639.258,1.37574,2.2089,1.59177,0.44057,0.42095,0.39878,0.25499,1.31785,1.84658,1.50248,0.00085975,0.00085975,0.00085975
19,674.497,1.38707,2.17727,1.59204,0.50202,0.47966,0.49477,0.29522,1.45908,1.79442,1.58846,0.0008515,0.0008515,0.0008515
20,709.608,1.37718,2.16159,1.59939,0.49403,0.50707,0.49131,0.30788,1.31788,1.7239,1.50988,0.00084325,0.00084325,0.00084325
21,745.096,1.37314,2.11676,1.58065,0.59402,0.41984,0.48673,0.30599,1.31782,1.72871,1.49907,0.000835,0.000835,0.000835
22,780.404,1.37117,2.12782,1.5927,0.58553,0.45032,0.4999,0.32901,1.33064,1.74372,1.52503,0.00082675,0.00082675,0.00082675
23,815.542,1.36134,2.12392,1.59011,0.64247,0.40938,0.53088,0.34316,1.29324,1.59081,1.49729,0.0008185,0.0008185,0.0008185
24,851.161,1.35621,2.08758,1.58418,0.59071,0.47224,0.51446,0.32879,1.33437,1.63695,1.51611,0.00081025,0.00081025,0.00081025
25,886.52,1.3452,2.04835,1.56947,0.41938,0.6053,0.53687,0.34204,1.35335,1.61221,1.52534,0.000802,0.000802,0.000802
26,921.845,1.35556,2.03816,1.55755,0.41646,0.48042,0.5006,0.32631,1.29137,1.69431,1.49759,0.00079375,0.00079375,0.00079375
27,956.998,1.34513,1.99217,1.55563,0.52953,0.466,0.50199,0.33458,1.28434,1.6286,1.46145,0.0007855,0.0007855,0.0007855
28,992.207,1.35154,2.00169,1.573,0.52651,0.51322,0.56551,0.36865,1.30876,1.58889,1.50742,0.00077725,0.00077725,0.00077725
29,1027.3,1.32895,1.96505,1.5536,0.42752,0.60482,0.50598,0.32653,1.29016,1.5851,1.4896,0.000769,0.000769,0.000769
30,1062.52,1.32512,1.9383,1.55179,0.62543,0.48556,0.55369,0.37529,1.28119,1.57787,1.47806,0.00076075,0.00076075,0.00076075
31,1097.82,1.31878,1.92132,1.54752,0.43691,0.53485,0.5124,0.3274,1.28582,1.53718,1.48428,0.0007525,0.0007525,0.0007525
32,1133.1,1.33032,1.93687,1.54499,0.44578,0.5439,0.52356,0.33821,1.28004,1.5554,1.46837,0.00074425,0.00074425,0.00074425
33,1168.59,1.32777,1.93507,1.5475,0.5229,0.55045,0.52104,0.33926,1.29162,1.46961,1.47917,0.000736,0.000736,0.000736
34,1203.98,1.33584,1.91078,1.54463,0.63996,0.45767,0.54515,0.35582,1.28465,1.51125,1.4856,0.00072775,0.00072775,0.00072775
35,1239.27,1.33238,1.88137,1.54236,0.64557,0.54788,0.57206,0.38104,1.28218,1.47424,1.45982,0.0007195,0.0007195,0.0007195
36,1274.68,1.31433,1.85458,1.53974,0.43565,0.58581,0.50956,0.3391,1.28432,1.56233,1.47803,0.00071125,0.00071125,0.00071125
37,1309.65,1.29502,1.85928,1.53053,0.49617,0.45716,0.50431,0.33286,1.28471,1.54528,1.45911,0.000703,0.000703,0.000703
38,1345.05,1.30191,1.85612,1.52367,0.48899,0.57366,0.56065,0.37074,1.28496,1.54749,1.47628,0.00069475,0.00069475,0.00069475
39,1380.36,1.30748,1.84207,1.52666,0.51334,0.56564,0.53873,0.34736,1.30657,1.43836,1.4864,0.0006865,0.0006865,0.0006865
40,1415.52,1.28783,1.80752,1.52332,0.40693,0.58499,0.53193,0.35647,1.26823,1.53573,1.4758,0.00067825,0.00067825,0.00067825
41,1450.7,1.29218,1.79932,1.52059,0.47204,0.48476,0.51949,0.34906,1.27859,1.64065,1.49316,0.00067,0.00067,0.00067
42,1485.86,1.28786,1.79307,1.51502,0.43781,0.55501,0.5356,0.35426,1.30875,1.56208,1.49378,0.00066175,0.00066175,0.00066175
43,1521.1,1.28801,1.77481,1.52208,0.64223,0.50734,0.57714,0.38116,1.28464,1.5184,1.46231,0.0006535,0.0006535,0.0006535
44,1556.48,1.3062,1.76725,1.52925,0.5004,0.597,0.5619,0.37642,1.27646,1.54001,1.46534,0.00064525,0.00064525,0.00064525
45,1591.91,1.28169,1.74106,1.52315,0.45765,0.64451,0.55521,0.36319,1.30673,1.47875,1.48861,0.000637,0.000637,0.000637
46,1627.4,1.2888,1.77942,1.52121,0.44124,0.54741,0.53591,0.35834,1.29705,1.59401,1.49519,0.00062875,0.00062875,0.00062875
47,1663.1,1.27225,1.73276,1.50894,0.48922,0.5264,0.54301,0.36057,1.27896,1.48014,1.47883,0.0006205,0.0006205,0.0006205
48,1698.23,1.26717,1.71112,1.50647,0.42271,0.5399,0.51209,0.33893,1.30581,1.66539,1.48251,0.00061225,0.00061225,0.00061225
49,1733.59,1.2817,1.73363,1.51008,0.47486,0.6171,0.57462,0.3867,1.2657,1.4573,1.46829,0.000604,0.000604,0.000604
50,1768.98,1.27716,1.70215,1.5115,0.69069,0.48537,0.56299,0.38721,1.26472,1.43026,1.47636,0.00059575,0.00059575,0.00059575
51,1804.39,1.25262,1.6432,1.4842,0.48203,0.58319,0.55852,0.37613,1.26978,1.45152,1.46541,0.0005875,0.0005875,0.0005875
52,1839.95,1.27725,1.67317,1.49784,0.4878,0.52025,0.56206,0.37898,1.27112,1.49036,1.47614,0.00057925,0.00057925,0.00057925
53,1875.31,1.26246,1.691,1.50039,0.511,0.65,0.62492,0.42851,1.25491,1.36765,1.45366,0.000571,0.000571,0.000571
54,1910.57,1.24855,1.62382,1.47783,0.48782,0.61951,0.60194,0.39495,1.25112,1.43862,1.45265,0.00056275,0.00056275,0.00056275
55,1945.87,1.26505,1.6258,1.48529,0.57464,0.53731,0.56951,0.38895,1.26469,1.46705,1.45172,0.0005545,0.0005545,0.0005545
