epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9986,1.50341,3.23229,1.61226,0.27302,0.2248,0.18148,0.12208,1.54618,2.88642,1.61221,0.000330556,0.000330556,0.067275
2,62.3504,1.50693,2.66259,1.60666,0.26689,0.33239,0.25007,0.16018,1.50921,2.56174,1.70902,0.000658412,0.000658412,0.0342695
3,79.428,1.4469,2.29988,1.55478,0.37458,0.34097,0.30662,0.18284,1.51817,2.31187,1.65645,0.000980768,0.000980768,0.00125855
4,96.4422,1.47802,2.25026,1.5883,0.40232,0.38383,0.33637,0.21289,1.46195,2.22537,1.59747,0.00097525,0.00097525,0.00097525
5,113.561,1.48109,2.22844,1.59242,0.42715,0.44609,0.40881,0.25665,1.40603,2.01958,1.55465,0.000967,0.000967,0.000967
6,130.802,1.41804,2.10896,1.5371,0.37999,0.34145,0.31049,0.19976,1.50093,2.4337,1.67244,0.00095875,0.00095875,0.00095875
7,148.202,1.41611,1.99784,1.54925,0.46678,0.42365,0.41243,0.26345,1.40839,1.9276,1.54737,0.0009505,0.0009505,0.0009505
8,165.695,1.40384,1.9197,1.52596,0.43003,0.48794,0.40637,0.24444,1.42253,1.93747,1.55425,0.00094225,0.00094225,0.00094225
9,183.063,1.37105,1.93323,1.50496,0.44217,0.41373,0.40553,0.25662,1.42119,1.93619,1.55145,0.000934,0.000934,0.000934
10,200.429,1.37102,1.90217,1.50221,0.48135,0.49467,0.45285,0.29312,1.35717,1.91142,1.50559,0.00092575,0.00092575,0.00092575
11,217.739,1.39717,1.89248,1.52823,0.45855,0.46281,0.41451,0.25751,1.40786,2.0582,1.52449,0.0009175,0.0009175,0.0009175
12,235.111,1.3587,1.81091,1.48525,0.47787,0.4652,0.46904,0.29812,1.38468,1.88175,1.51266,0.00090925,0.00090925,0.00090925
13,252.524,1.3048,1.76697,1.45096,0.47161,0.4193,0.44193,0.29402,1.36316,1.86232,1.51194,0.000901,0.000901,0.000901
14,269.932,1.35769,1.80802,1.48248,0.51424,0.49426,0.47967,0.31456,1.36252,1.73283,1.50306,0.00089275,0.00089275,0.00089275
15,287.219,1.30936,1.71802,1.47446,0.49619,0.5124,0.46123,0.29907,1.33079,1.82591,1.49508,0.0008845,0.0008845,0.0008845
16,304.498,1.29529,1.67965,1.43399,0.48955,0.45456,0.47242,0.32352,1.32073,1.92783,1.47417,0.00087625,0.00087625,0.00087625
17,321.958,1.32122,1.70919,1.4684,0.48577,0.52799,0.49653,0.33251,1.32164,1.732,1.47312,0.000868,0.000868,0.000868
