epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8375,1.99467,3.45055,2.26307,0.68071,0.16755,0.10378,0.03881,2.28632,3.09766,2.65063,0.000331903,0.000331903,0.0671416
2,71.8637,1.90067,2.95412,2.23298,0.65814,0.23263,0.19726,0.07642,2.14275,2.9551,2.52879,0.000659748,0.000659748,0.0341361
3,106.674,1.89448,2.7747,2.19458,0.6807,0.16242,0.1852,0.0761,2.108,2.77499,2.44872,0.000982093,0.000982093,0.00112515
4,141.094,1.85566,2.68827,2.17441,0.54573,0.21309,0.1949,0.07578,2.08351,2.64031,2.38198,0.00097525,0.00097525,0.00097525
5,175.342,1.79654,2.53354,2.14169,0.53135,0.20746,0.17777,0.06673,2.1087,2.84716,2.4377,0.000967,0.000967,0.000967
6,209.743,1.79489,2.5238,2.12612,0.65887,0.23298,0.26635,0.11368,2.03802,2.32411,2.3475,0.00095875,0.00095875,0.00095875
7,244.301,1.76711,2.47457,2.10015,0.51645,0.25372,0.22891,0.08743,2.2283,2.4586,2.55333,0.0009505,0.0009505,0.0009505
8,278.507,1.76628,2.43173,2.10229,0.64767,0.28506,0.27826,0.1207,2.01294,2.39696,2.33249,0.00094225,0.00094225,0.00094225
9,312.886,1.74362,2.41143,2.08418,0.64273,0.19412,0.24037,0.09636,2.07633,2.48233,2.42722,0.000934,0.000934,0.000934
10,347.154,1.71881,2.3446,2.06829,0.62864,0.2809,0.27354,0.11196,1.94734,2.36221,2.27028,0.00092575,0.00092575,0.00092575
11,381.463,1.71755,2.28432,2.0474,0.66469,0.27822,0.27151,0.11132,2.11804,2.22961,2.4177,0.0009175,0.0009175,0.0009175
12,415.632,1.71966,2.29905,2.04828,0.58551,0.25285,0.29766,0.13735,1.94037,2.2055,2.22043,0.00090925,0.00090925,0.00090925
13,450.047,1.67767,2.2298,2.00075,0.62331,0.31819,0.30642,0.13212,2.06137,2.24551,2.39196,0.000901,0.000901,0.000901
14,484.205,1.68964,2.18704,2.0224,0.59658,0.26949,0.29625,0.12669,1.9959,2.17279,2.30708,0.00089275,0.00089275,0.00089275
15,518.676,1.6843,2.20622,2.01214,0.68548,0.2748,0.31229,0.13196,1.92557,2.15362,2.22395,0.0008845,0.0008845,0.0008845
16,552.879,1.65746,2.1528,1.97828,0.54429,0.28861,0.31084,0.14409,1.93286,2.03321,2.25142,0.00087625,0.00087625,0.00087625
17,587.299,1.66896,2.11566,1.97556,0.50409,0.31237,0.32822,0.15417,1.88117,1.98109,2.17179,0.000868,0.000868,0.000868
18,621.759,1.64148,2.12428,1.97388,0.43737,0.29611,0.27728,0.11557,2.00707,2.19563,2.3155,0.00085975,0.00085975,0.00085975
19,656.093,1.6469,2.09954,1.96348,0.57088,0.35057,0.33155,0.15196,1.83172,2.07322,2.15624,0.0008515,0.0008515,0.0008515
20,690.648,1.62921,2.11333,1.98912,0.6436,0.30542,0.34471,0.14951,1.95793,2.00894,2.28009,0.00084325,0.00084325,0.00084325
21,724.943,1.62676,2.06443,1.95628,0.56307,0.32487,0.35418,0.16587,1.9337,1.95058,2.22579,0.000835,0.000835,0.000835
22,759.339,1.61581,2.03296,1.95517,0.70042,0.32735,0.36797,0.16677,1.8911,2.04244,2.21078,0.00082675,0.00082675,0.00082675
23,793.919,1.61865,1.97922,1.95428,0.53086,0.34792,0.35107,0.16541,1.89658,1.93575,2.18276,0.0008185,0.0008185,0.0008185
24,828.251,1.63142,2.01339,1.95349,0.52324,0.32603,0.32374,0.14007,1.94911,2.08585,2.24116,0.00081025,0.00081025,0.00081025
25,862.58,1.57025,1.96765,1.92138,0.55245,0.34908,0.35334,0.15997,1.94202,1.96599,2.25246,0.000802,0.000802,0.000802
26,897.19,1.60622,1.95897,1.94223,0.60146,0.3262,0.36403,0.15216,2.01001,2.07559,2.33726,0.00079375,0.00079375,0.00079375
27,931.647,1.59996,1.89693,1.91973,0.42677,0.3924,0.38063,0.17314,1.90966,1.93157,2.20895,0.0007855,0.0007855,0.0007855
28,965.986,1.58937,1.90931,1.92602,0.52049,0.3527,0.35128,0.14964,1.92405,1.94302,2.24671,0.00077725,0.00077725,0.00077725
29,1000.32,1.5833,1.92051,1.92251,0.70308,0.34692,0.36359,0.16612,1.90859,1.94152,2.21117,0.000769,0.000769,0.000769
30,1034.57,1.56766,1.89204,1.91154,0.59639,0.34054,0.33229,0.14076,1.97065,2.03797,2.31203,0.00076075,0.00076075,0.00076075
31,1068.83,1.58506,1.83836,1.90958,0.44753,0.32162,0.30904,0.12523,2.06277,2.10942,2.38301,0.0007525,0.0007525,0.0007525
32,1103.23,1.57822,1.85906,1.90492,0.51731,0.33731,0.36756,0.16659,1.86769,1.97198,2.16928,0.00074425,0.00074425,0.00074425
33,1137.62,1.56101,1.88929,1.88717,0.68817,0.31725,0.37119,0.18079,1.82164,1.89688,2.12296,0.000736,0.000736,0.000736
34,1172.35,1.58277,1.85843,1.91881,0.63631,0.37225,0.38033,0.16648,1.94804,1.89872,2.29798,0.00072775,0.00072775,0.00072775
35,1206.56,1.55707,1.83033,1.89066,0.61459,0.34187,0.38575,0.17071,1.88681,1.85728,2.20843,0.0007195,0.0007195,0.0007195
36,1240.85,1.53285,1.78914,1.85995,0.58984,0.36899,0.35763,0.15976,1.8538,1.84312,2.15601,0.00071125,0.00071125,0.00071125
37,1275.24,1.52979,1.74725,1.85228,0.50515,0.33893,0.39889,0.17092,1.93945,1.87254,2.26545,0.000703,0.000703,0.000703
38,1309.61,1.54591,1.76573,1.86532,0.73847,0.33841,0.40771,0.18493,1.87809,1.78233,2.19044,0.00069475,0.00069475,0.00069475
39,1343.95,1.54006,1.76584,1.8785,0.65516,0.3703,0.40658,0.18867,1.85089,1.72912,2.14818,0.0006865,0.0006865,0.0006865
40,1378.33,1.52442,1.75736,1.86429,0.48163,0.32955,0.379,0.17961,1.87194,1.80705,2.14608,0.00067825,0.00067825,0.00067825
41,1412.77,1.5386,1.75454,1.86886,0.60168,0.38189,0.39027,0.1767,1.90558,1.88155,2.18162,0.00067,0.00067,0.00067
42,1447.08,1.5413,1.7559,1.85838,0.66447,0.39196,0.39231,0.18322,1.84031,1.79887,2.14984,0.00066175,0.00066175,0.00066175
43,1481.47,1.53189,1.72965,1.87391,0.68311,0.39726,0.40872,0.18871,1.86656,1.77711,2.14114,0.0006535,0.0006535,0.0006535
44,1515.95,1.5003,1.70146,1.84633,0.44832,0.42827,0.42296,0.19435,1.8439,1.72789,2.1377,0.00064525,0.00064525,0.00064525
45,1550.45,1.50127,1.66151,1.81814,0.51745,0.4277,0.40435,0.19316,1.83078,1.77376,2.12864,0.000637,0.000637,0.000637
46,1584.69,1.52306,1.6831,1.84628,0.59118,0.38025,0.41609,0.18594,1.87843,1.7608,2.18125,0.00062875,0.00062875,0.00062875
47,1619.11,1.51224,1.70599,1.8325,0.58007,0.41288,0.42104,0.18578,1.87807,1.74235,2.20251,0.0006205,0.0006205,0.0006205
48,1653.39,1.51343,1.66609,1.8438,0.57451,0.41941,0.46002,0.20653,1.89013,1.6848,2.17925,0.00061225,0.00061225,0.00061225
49,1687.96,1.47581,1.63257,1.81263,0.50474,0.4104,0.41069,0.17922,1.92352,1.79103,2.23632,0.000604,0.000604,0.000604
50,1722.58,1.52072,1.66142,1.84171,0.47497,0.43008,0.39932,0.1811,1.88934,1.80014,2.16849,0.00059575,0.00059575,0.00059575
51,1757.8,1.49195,1.63425,1.80285,0.47768,0.42841,0.41063,0.17934,1.91502,1.77844,2.2049,0.0005875,0.0005875,0.0005875
52,1792.48,1.49842,1.64722,1.82152,0.48999,0.41101,0.41839,0.19343,1.89234,1.71305,2.17941,0.00057925,0.00057925,0.00057925
53,1826.98,1.45926,1.58382,1.78658,0.46065,0.4175,0.39389,0.17868,1.89205,1.73139,2.19174,0.000571,0.000571,0.000571
54,1861.54,1.48381,1.57711,1.80643,0.47754,0.41642,0.43392,0.20157,1.86543,1.78452,2.15571,0.00056275,0.00056275,0.00056275
55,1895.94,1.459,1.56573,1.78854,0.57103,0.42735,0.47148,0.21576,1.86978,1.63395,2.17341,0.0005545,0.0005545,0.0005545
56,1930.58,1.45546,1.59239,1.8033,0.55194,0.4416,0.45065,0.20951,1.86592,1.67419,2.16918,0.00054625,0.00054625,0.00054625
57,1964.97,1.46069,1.57291,1.78681,0.5206,0.46985,0.48318,0.22802,1.86843,1.66169,2.1579,0.000538,0.000538,0.000538
58,1999.36,1.45454,1.54356,1.7897,0.54294,0.44653,0.45996,0.21596,1.90102,1.67222,2.20604,0.00052975,0.00052975,0.00052975
59,2033.56,1.45084,1.51706,1.78168,0.57281,0.4302,0.46149,0.21341,1.89056,1.62187,2.20138,0.0005215,0.0005215,0.0005215
60,2067.99,1.45699,1.54546,1.79069,0.5748,0.44338,0.45346,0.20753,1.8943,1.70003,2.17552,0.00051325,0.00051325,0.00051325
61,2102.37,1.43188,1.48878,1.75402,0.48613,0.45109,0.44446,0.19248,1.93287,1.7091,2.23942,0.000505,0.000505,0.000505
62,2136.65,1.4321,1.48867,1.76665,0.56437,0.43411,0.45624,0.21089,1.90159,1.62621,2.21197,0.00049675,0.00049675,0.00049675
63,2170.87,1.44949,1.50325,1.77187,0.60811,0.43979,0.46379,0.21695,1.87307,1.67412,2.15609,0.0004885,0.0004885,0.0004885
64,2205.21,1.41391,1.44636,1.75203,0.54958,0.44219,0.4547,0.20903,1.86418,1.63956,2.16291,0.00048025,0.00048025,0.00048025
65,2239.5,1.435,1.46946,1.76397,0.50713,0.47447,0.45941,0.21651,1.89738,1.62006,2.1843,0.000472,0.000472,0.000472
66,2273.9,1.44117,1.48142,1.76067,0.51653,0.46475,0.46897,0.21801,1.88607,1.56986,2.19839,0.00046375,0.00046375,0.00046375
67,2308.24,1.43589,1.49894,1.76898,0.53186,0.50417,0.48559,0.22206,1.89548,1.61897,2.18533,0.0004555,0.0004555,0.0004555
68,2342.65,1.42287,1.4599,1.75732,0.59262,0.44102,0.47033,0.22409,1.8931,1.5535,2.17903,0.00044725,0.00044725,0.00044725
69,2377.12,1.42185,1.4495,1.74962,0.5383,0.4561,0.4686,0.22385,1.91783,1.5759,2.21403,0.000439,0.000439,0.000439
70,2411.63,1.42348,1.44256,1.75367,0.45385,0.49529,0.47209,0.22583,1.84461,1.53437,2.1355,0.00043075,0.00043075,0.00043075
71,2446,1.39857,1.40018,1.71806,0.46257,0.42789,0.43713,0.21082,1.87696,1.57409,2.19031,0.0004225,0.0004225,0.0004225
72,2480.23,1.43733,1.46039,1.76832,0.56886,0.41021,0.44282,0.20819,1.86785,1.6126,2.15895,0.00041425,0.00041425,0.00041425
73,2514.69,1.40418,1.40273,1.72399,0.48232,0.45961,0.44166,0.21519,1.89192,1.56714,2.21109,0.000406,0.000406,0.000406
74,2548.93,1.40731,1.3897,1.71928,0.48615,0.48017,0.46467,0.21697,1.90414,1.58077,2.20481,0.00039775,0.00039775,0.00039775
75,2583.4,1.38814,1.34722,1.72244,0.50766,0.48421,0.44693,0.20892,1.90474,1.54352,2.22422,0.0003895,0.0003895,0.0003895
76,2617.92,1.39164,1.37937,1.72211,0.56228,0.4304,0.44743,0.21652,1.88808,1.58413,2.18225,0.00038125,0.00038125,0.00038125
77,2652.15,1.39175,1.35452,1.71215,0.53388,0.44378,0.45622,0.21349,1.91308,1.52366,2.24271,0.000373,0.000373,0.000373
78,2686.29,1.37743,1.34261,1.70782,0.50212,0.46723,0.45329,0.2172,1.89737,1.56139,2.24347,0.00036475,0.00036475,0.00036475
79,2720.85,1.39503,1.37134,1.72519,0.52738,0.48726,0.48424,0.23667,1.85744,1.50591,2.16552,0.0003565,0.0003565,0.0003565
80,2755.25,1.38711,1.35882,1.72271,0.57241,0.43148,0.45042,0.20777,1.92211,1.57539,2.23415,0.00034825,0.00034825,0.00034825
81,2789.65,1.39377,1.37902,1.73438,0.57547,0.43368,0.45222,0.21136,1.88023,1.57753,2.18992,0.00034,0.00034,0.00034
82,2824.09,1.38696,1.34405,1.70453,0.55004,0.47525,0.45843,0.20619,1.92577,1.52536,2.242,0.00033175,0.00033175,0.00033175
83,2858.25,1.35753,1.32867,1.71898,0.53862,0.46353,0.45498,0.20901,1.91671,1.54605,2.22818,0.0003235,0.0003235,0.0003235
84,2892.61,1.36599,1.3125,1.69578,0.50465,0.48741,0.45297,0.20785,1.9301,1.50932,2.27331,0.00031525,0.00031525,0.00031525
85,2926.97,1.37814,1.31233,1.71316,0.6005,0.4865,0.48884,0.21701,1.9172,1.5311,2.25702,0.000307,0.000307,0.000307
86,2961.16,1.36433,1.30612,1.69823,0.51671,0.50367,0.46359,0.20703,1.89582,1.52958,2.19457,0.00029875,0.00029875,0.00029875
87,2995.24,1.35288,1.29531,1.68992,0.51262,0.5319,0.4897,0.23637,1.92074,1.49524,2.23404,0.0002905,0.0002905,0.0002905
88,3029.61,1.3561,1.30154,1.6994,0.58694,0.4775,0.50354,0.22757,1.92619,1.48548,2.24362,0.00028225,0.00028225,0.00028225
89,3064.17,1.36065,1.26943,1.68799,0.55429,0.46947,0.48889,0.22795,1.93991,1.47288,2.28094,0.000274,0.000274,0.000274
90,3098.7,1.35645,1.28528,1.68484,0.54306,0.48368,0.46798,0.21239,1.94574,1.5253,2.27658,0.00026575,0.00026575,0.00026575
91,3133.08,1.34705,1.27036,1.67898,0.61825,0.46058,0.47312,0.21058,1.93318,1.52358,2.26112,0.0002575,0.0002575,0.0002575
92,3167.44,1.35333,1.29485,1.68159,0.62516,0.4864,0.48999,0.22735,1.92415,1.51535,2.23713,0.00024925,0.00024925,0.00024925
93,3201.95,1.3281,1.26199,1.672,0.60344,0.48078,0.48274,0.21688,1.93807,1.51495,2.23784,0.000241,0.000241,0.000241
94,3236.62,1.33471,1.25361,1.67719,0.56295,0.49789,0.46946,0.22265,1.90693,1.52656,2.19836,0.00023275,0.00023275,0.00023275
95,3270.98,1.33046,1.24943,1.65971,0.541,0.50696,0.48766,0.22625,1.90591,1.53765,2.23008,0.0002245,0.0002245,0.0002245
96,3305.05,1.3265,1.23673,1.64938,0.5749,0.46452,0.47657,0.22045,1.91448,1.51633,2.24901,0.00021625,0.00021625,0.00021625
97,3339.23,1.31885,1.22268,1.65635,0.55261,0.49196,0.478,0.21315,1.94249,1.50909,2.27717,0.000208,0.000208,0.000208
98,3373.58,1.33287,1.23717,1.67647,0.56858,0.50371,0.486,0.21498,1.92633,1.53981,2.23451,0.00019975,0.00019975,0.00019975
99,3407.94,1.31965,1.22886,1.64715,0.52751,0.47451,0.46193,0.20292,1.9463,1.57131,2.27295,0.0001915,0.0001915,0.0001915
100,3442.36,1.32614,1.21723,1.66095,0.56311,0.53535,0.50435,0.22725,1.92749,1.50056,2.26243,0.00018325,0.00018325,0.00018325
101,3476.67,1.29515,1.17915,1.6318,0.59071,0.48785,0.49157,0.22332,1.95005,1.49522,2.28428,0.000175,0.000175,0.000175
102,3511.09,1.30628,1.19619,1.64435,0.55359,0.53609,0.51302,0.23988,1.91611,1.46596,2.27301,0.00016675,0.00016675,0.00016675
103,3545.72,1.32788,1.19808,1.6562,0.51162,0.5214,0.4891,0.23448,1.91441,1.44401,2.2682,0.0001585,0.0001585,0.0001585
104,3580.22,1.29831,1.17944,1.63055,0.565,0.5075,0.48754,0.23279,1.90073,1.43939,2.22344,0.00015025,0.00015025,0.00015025
