epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90123,2.07551,4.62539,2.08435,0.00025,0.07143,0.00058,0.00012,3.03165,4.00219,3.1158,0.00024,0.00024,0.07624
2,7.81095,2.09594,4.21082,1.97555,0.00141,0.29762,0.00677,0.00219,2.67594,3.752,2.20905,0.000485957,0.000485957,0.051486
3,11.6806,1.98515,3.90046,1.97127,0.00745,0.47619,0.05149,0.00956,2.38923,3.64016,2.27536,0.00072779,0.00072779,0.0267278
4,15.5711,2.02301,3.72589,1.9912,0.0044,0.88095,0.08696,0.02836,2.29382,3.3955,2.41294,0.000965498,0.000965498,0.0019655
5,19.4393,2.05512,3.5784,2.02386,0.38158,0.13095,0.0788,0.02498,2.36893,3.28105,2.3877,0.000967,0.000967,0.000967
6,23.1818,1.99298,3.46822,1.96303,0.83442,0.04762,0.0716,0.02008,2.15836,3.10885,2.20414,0.00095875,0.00095875,0.00095875
7,27.1734,1.9792,3.27299,1.97278,0.16132,0.22619,0.13949,0.05936,2.26591,4.0914,2.23509,0.0009505,0.0009505,0.0009505
8,30.9822,1.98527,3.2481,1.95547,0.67353,0.11905,0.10412,0.05044,2.28495,4.84981,2.37878,0.00094225,0.00094225,0.00094225
9,34.7161,1.96437,3.18881,1.92581,0.58625,0.10714,0.13174,0.0526,2.09093,7.09436,2.1558,0.000934,0.000934,0.000934
10,38.5137,1.92225,3.04633,1.8952,0.1042,0.38095,0.10249,0.03315,2.33815,17.294,2.54627,0.00092575,0.00092575,0.00092575
11,42.3329,1.87788,3.05767,1.92207,0.24513,0.2619,0.20221,0.0861,2.14408,7.0886,2.3463,0.0009175,0.0009175,0.0009175
12,46.12,1.90117,2.88618,1.87964,0.11317,0.30952,0.10083,0.038,2.17948,3.35681,2.14095,0.00090925,0.00090925,0.00090925
13,49.8981,1.85696,2.87615,1.85034,0.54882,0.14286,0.1304,0.05622,2.31931,3.66158,2.14208,0.000901,0.000901,0.000901
14,53.68,1.91146,2.94208,1.96182,0.21675,0.35714,0.2072,0.09234,2.23405,3.74274,2.16931,0.00089275,0.00089275,0.00089275
15,57.5488,1.89072,2.91091,1.9171,0.22909,0.19048,0.15011,0.09475,2.03214,3.64812,2.06112,0.0008845,0.0008845,0.0008845
16,61.4113,1.90969,2.75144,1.91451,0.20469,0.32143,0.17794,0.10455,2.13279,3.66857,2.14164,0.00087625,0.00087625,0.00087625
17,65.2609,1.83605,2.74625,1.81993,0.33118,0.2599,0.20407,0.11577,1.99762,3.72822,2.09987,0.000868,0.000868,0.000868
18,69.1228,1.84624,2.71186,1.82163,0.58085,0.2619,0.20367,0.08319,2.10698,3.32103,2.14115,0.00085975,0.00085975,0.00085975
19,72.8849,1.74887,2.61886,1.77027,0.34521,0.16285,0.19517,0.08999,2.24315,3.53873,2.2679,0.0008515,0.0008515,0.0008515
20,76.6517,1.76071,2.57648,1.78082,0.42202,0.18557,0.24203,0.10006,2.23343,3.01634,2.27183,0.00084325,0.00084325,0.00084325
21,80.4807,1.72435,2.48906,1.75451,0.81612,0.16667,0.24248,0.10269,2.21152,3.08915,2.30096,0.000835,0.000835,0.000835
22,84.2814,1.77848,2.58221,1.82856,0.62502,0.27085,0.27594,0.11367,2.15397,3.65299,2.18907,0.00082675,0.00082675,0.00082675
23,88.1,1.76648,2.50747,1.78908,0.26556,0.297,0.25881,0.10053,2.25819,3.13336,2.33642,0.0008185,0.0008185,0.0008185
24,91.9106,1.72794,2.36663,1.73555,0.4244,0.20232,0.27256,0.0985,2.08797,2.8872,2.19569,0.00081025,0.00081025,0.00081025
25,95.675,1.6785,2.34914,1.71292,0.25428,0.40072,0.22927,0.09649,2.01477,2.95762,2.05745,0.000802,0.000802,0.000802
26,99.4486,1.69825,2.28268,1.73828,0.31022,0.45238,0.29955,0.13069,1.92027,2.87333,1.98049,0.00079375,0.00079375,0.00079375
27,103.358,1.68684,2.37299,1.72636,0.2582,0.28571,0.25994,0.11278,2.06636,2.92484,2.15163,0.0007855,0.0007855,0.0007855
28,107.199,1.73767,2.31696,1.75121,0.65356,0.28571,0.32463,0.11716,2.08414,2.89268,2.10648,0.00077725,0.00077725,0.00077725
29,111.024,1.73039,2.17136,1.71841,0.25079,0.4881,0.35556,0.13371,2.18066,3.06395,2.20524,0.000769,0.000769,0.000769
30,114.849,1.70882,2.33918,1.77369,0.1529,0.45075,0.21691,0.10712,2.19258,3.18048,2.23803,0.00076075,0.00076075,0.00076075
31,118.65,1.65845,2.16612,1.69884,0.23125,0.2381,0.22668,0.11335,2.18392,2.69618,2.12874,0.0007525,0.0007525,0.0007525
32,122.467,1.68856,2.25152,1.73004,0.24481,0.2619,0.20466,0.09708,2.13031,3.08522,2.0624,0.00074425,0.00074425,0.00074425
33,126.252,1.67546,2.19689,1.68267,0.26779,0.21429,0.22266,0.10663,2.12107,2.9789,2.00957,0.000736,0.000736,0.000736
34,130.028,1.68154,2.20701,1.68077,0.22324,0.36554,0.26494,0.12001,2.08377,2.65873,2.1152,0.00072775,0.00072775,0.00072775
35,133.847,1.62202,2.06137,1.66227,0.22539,0.36905,0.22049,0.10576,2.15282,2.70043,2.19448,0.0007195,0.0007195,0.0007195
36,137.77,1.70986,2.2593,1.6987,0.13207,0.38095,0.24988,0.11464,2.00699,2.56803,2.06443,0.00071125,0.00071125,0.00071125
37,141.582,1.62236,2.11408,1.61452,0.29259,0.22619,0.20479,0.08397,2.01653,2.7574,2.02521,0.000703,0.000703,0.000703
38,145.359,1.56162,2.10574,1.5739,0.23825,0.22619,0.20822,0.10146,2.11893,2.76851,2.09966,0.00069475,0.00069475,0.00069475
39,149.087,1.60614,2.03527,1.62526,0.34592,0.24791,0.27091,0.12806,2.27611,2.75975,2.28486,0.0006865,0.0006865,0.0006865
