epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5702,1.22123,2.99923,1.69485,0.3914,0.18426,0.17496,0.06348,1.97226,3.06999,2.87899,0.000330532,0.000330532,0.0672773
2,58.5537,1.23579,2.1365,1.6752,0.4349,0.49455,0.46853,0.23183,1.69092,2.59538,2.32132,0.000658389,0.000658389,0.0342718
3,75.4016,1.20652,1.8277,1.62527,0.54607,0.60813,0.59699,0.38285,1.27422,2.15042,1.92729,0.000980745,0.000980745,0.00126086
4,92.2062,1.14121,1.73873,1.58921,0.52013,0.67044,0.61844,0.34362,1.41891,2.03546,2.00983,0.00097525,0.00097525,0.00097525
5,109.066,1.13513,1.64522,1.56434,0.52292,0.73488,0.71773,0.47349,1.21535,1.57445,1.81243,0.000967,0.000967,0.000967
6,126.151,1.14805,1.57147,1.56147,0.63642,0.7278,0.71471,0.45734,1.26671,1.64063,1.85958,0.00095875,0.00095875,0.00095875
7,143.193,1.10477,1.47107,1.52371,0.80507,0.74546,0.80365,0.54688,1.14121,1.98371,1.69219,0.0009505,0.0009505,0.0009505
8,160.425,1.1002,1.41037,1.52912,0.74081,0.74097,0.78264,0.54273,1.16085,1.43072,1.7508,0.00094225,0.00094225,0.00094225
9,177.548,1.06589,1.37059,1.50848,0.79495,0.77034,0.80251,0.54653,1.17621,1.46366,1.71086,0.000934,0.000934,0.000934
10,194.659,1.07358,1.32877,1.49182,0.76937,0.72113,0.75263,0.50886,1.1337,1.36221,1.67471,0.00092575,0.00092575,0.00092575
11,211.533,1.06838,1.32484,1.48797,0.77917,0.72719,0.81234,0.57425,1.14776,1.30104,1.63321,0.0009175,0.0009175,0.0009175
12,228.703,1.02115,1.25338,1.45569,0.77976,0.74709,0.81959,0.56992,1.15342,1.27355,1.65881,0.00090925,0.00090925,0.00090925
13,245.903,1.01757,1.24679,1.45374,0.76869,0.79955,0.83817,0.60117,1.09126,1.08832,1.6025,0.000901,0.000901,0.000901
14,262.988,1.01583,1.19192,1.42728,0.82331,0.74537,0.81147,0.5121,1.25684,1.31631,1.85971,0.00089275,0.00089275,0.00089275
15,280.104,0.98439,1.21096,1.44027,0.8538,0.82639,0.87941,0.67127,1.00677,0.99308,1.51653,0.0008845,0.0008845,0.0008845
16,297.125,0.98021,1.19353,1.41052,0.89056,0.81294,0.87551,0.65054,1.0154,1.03039,1.476,0.00087625,0.00087625,0.00087625
17,314.124,0.93795,1.17909,1.3953,0.82666,0.85039,0.86483,0.60333,1.09566,1.10055,1.58972,0.000868,0.000868,0.000868
18,331.234,0.95899,1.12701,1.40431,0.8032,0.81153,0.84736,0.59766,1.08525,1.073,1.6029,0.00085975,0.00085975,0.00085975
19,348.273,0.938,1.09356,1.41078,0.81701,0.83044,0.87136,0.61079,1.09777,1.03099,1.61671,0.0008515,0.0008515,0.0008515
20,365.258,0.97404,1.14738,1.43404,0.82056,0.86413,0.88256,0.67679,1.0227,0.94372,1.52128,0.00084325,0.00084325,0.00084325
21,382.32,0.91956,1.03632,1.39097,0.88636,0.83874,0.8962,0.67518,0.99273,0.93445,1.4657,0.000835,0.000835,0.000835
22,399.415,0.95743,1.09611,1.3954,0.76545,0.86175,0.86696,0.62772,1.05151,1.05153,1.55443,0.00082675,0.00082675,0.00082675
23,416.507,0.92333,1.06429,1.37777,0.90487,0.85463,0.90363,0.66003,1.04953,0.98221,1.50166,0.0008185,0.0008185,0.0008185
24,433.607,0.93797,1.05839,1.38793,0.90746,0.84446,0.89997,0.68184,1.00637,0.88452,1.49646,0.00081025,0.00081025,0.00081025
25,450.668,0.93435,1.03035,1.38281,0.91704,0.84158,0.90128,0.65393,1.04366,0.96089,1.52008,0.000802,0.000802,0.000802
26,467.74,0.92013,1.00954,1.38059,0.90483,0.83353,0.88015,0.66619,1.00504,0.93679,1.50968,0.00079375,0.00079375,0.00079375
27,484.674,0.91396,1.00922,1.36683,0.87752,0.86837,0.90121,0.68652,1.00902,0.87267,1.54885,0.0007855,0.0007855,0.0007855
28,501.672,0.90858,0.99566,1.36574,0.87879,0.87156,0.89753,0.66917,1.00968,0.91064,1.51773,0.00077725,0.00077725,0.00077725
29,518.707,0.90226,0.98511,1.34767,0.87677,0.90851,0.91514,0.69828,0.945,0.85635,1.41656,0.000769,0.000769,0.000769
30,535.865,0.8931,0.96866,1.33959,0.93882,0.88718,0.92727,0.71618,0.9472,0.77911,1.45359,0.00076075,0.00076075,0.00076075
31,552.835,0.89534,0.95539,1.36534,0.89982,0.9025,0.92331,0.69801,0.94115,0.80423,1.42094,0.0007525,0.0007525,0.0007525
32,569.885,0.87692,0.959,1.35452,0.89966,0.85873,0.91534,0.67545,0.9922,0.90576,1.47188,0.00074425,0.00074425,0.00074425
33,586.859,0.87042,0.92805,1.33913,0.91927,0.88394,0.91774,0.68739,0.96997,0.79921,1.47683,0.000736,0.000736,0.000736
34,603.802,0.88442,0.92387,1.33501,0.91712,0.89124,0.9275,0.72362,0.89901,0.77539,1.37477,0.00072775,0.00072775,0.00072775
35,620.784,0.8827,0.93219,1.36852,0.87719,0.88548,0.92248,0.69684,0.94807,0.80373,1.41714,0.0007195,0.0007195,0.0007195
