epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4784,0.71409,1.25184,1.19028,0.54698,0.42357,0.43928,0.27245,1.10441,1.93246,1.54211,0.000332215,0.000332215,0.0671107
2,108.371,0.69543,0.97886,1.16973,0.70903,0.38905,0.4579,0.30105,0.88663,1.84304,1.31199,0.000660057,0.000660057,0.0341052
3,148.428,0.68989,0.93964,1.15938,0.70747,0.43977,0.53122,0.35925,0.80516,1.48609,1.28059,0.0009824,0.0009824,0.00109426
4,188.46,0.67226,0.90225,1.14164,0.78288,0.37109,0.47438,0.29742,0.79905,1.65503,1.24647,0.00097525,0.00097525,0.00097525
5,228.451,0.64266,0.86059,1.13103,0.75994,0.42621,0.50964,0.35934,0.68002,1.65784,1.1371,0.000967,0.000967,0.000967
6,268.464,0.63524,0.84136,1.11812,0.75542,0.4293,0.45914,0.29678,0.72616,1.62164,1.23827,0.00095875,0.00095875,0.00095875
7,308.466,0.61693,0.82233,1.1146,0.62326,0.50646,0.54289,0.38789,0.67675,1.37311,1.13591,0.0009505,0.0009505,0.0009505
8,348.591,0.60005,0.77978,1.10147,0.62776,0.50563,0.51766,0.38809,0.65277,1.33869,1.13444,0.00094225,0.00094225,0.00094225
9,388.928,0.60692,0.81388,1.10422,0.81762,0.44321,0.55734,0.41516,0.68536,1.40992,1.17121,0.000934,0.000934,0.000934
10,429.282,0.60096,0.78126,1.10481,0.61436,0.49854,0.52785,0.39803,0.65261,1.24479,1.11669,0.00092575,0.00092575,0.00092575
11,469.52,0.59461,0.76962,1.08511,0.56464,0.57037,0.56909,0.42051,0.63217,1.32784,1.09918,0.0009175,0.0009175,0.0009175
12,509.894,0.59787,0.77957,1.09613,0.47983,0.53132,0.5301,0.37504,0.64102,1.24943,1.10752,0.00090925,0.00090925,0.00090925
13,550.131,0.57731,0.76763,1.09031,0.6724,0.49108,0.59422,0.42062,0.64413,1.28526,1.11809,0.000901,0.000901,0.000901
14,589.981,0.55899,0.74607,1.08223,0.65929,0.49357,0.51898,0.37415,0.62043,1.32319,1.08653,0.00089275,0.00089275,0.00089275
15,630.144,0.54618,0.71225,1.07282,0.55498,0.52701,0.54941,0.40209,0.61892,1.25478,1.10772,0.0008845,0.0008845,0.0008845
16,670.1,0.55336,0.7261,1.07477,0.46666,0.43858,0.44059,0.293,0.65091,1.29041,1.11623,0.00087625,0.00087625,0.00087625
17,709.957,0.55791,0.72265,1.07211,0.49934,0.55934,0.53087,0.39479,0.58126,1.13673,1.07449,0.000868,0.000868,0.000868
18,750.338,0.54733,0.70838,1.0712,0.4586,0.50513,0.48096,0.33611,0.62868,1.30246,1.10585,0.00085975,0.00085975,0.00085975
19,790.628,0.5537,0.71378,1.06685,0.77136,0.44323,0.51159,0.3704,0.65657,1.39428,1.1487,0.0008515,0.0008515,0.0008515
20,831.081,0.55036,0.71429,1.07029,0.50769,0.4828,0.48363,0.34888,0.57935,1.26585,1.05735,0.00084325,0.00084325,0.00084325
21,871.581,0.53744,0.69202,1.06155,0.60925,0.51006,0.57208,0.42278,0.58915,1.24918,1.054,0.000835,0.000835,0.000835
22,912.183,0.5369,0.70911,1.04976,0.45854,0.49155,0.5065,0.37011,0.60194,1.20974,1.08093,0.00082675,0.00082675,0.00082675
23,952.289,0.52973,0.6924,1.05186,0.48275,0.46199,0.48829,0.35106,0.56613,1.33224,1.04758,0.0008185,0.0008185,0.0008185
24,992.3,0.5363,0.69008,1.05664,0.49109,0.52707,0.4671,0.34389,0.55973,1.27205,1.04317,0.00081025,0.00081025,0.00081025
25,1032.72,0.52261,0.67766,1.05449,0.49872,0.47222,0.46629,0.34728,0.56292,1.28175,1.07137,0.000802,0.000802,0.000802
26,1073.07,0.53179,0.6675,1.05211,0.41107,0.54693,0.45492,0.32448,0.58446,1.45781,1.05193,0.00079375,0.00079375,0.00079375
27,1113.28,0.52647,0.66818,1.0456,0.49743,0.52321,0.4946,0.35695,0.56614,1.177,1.05951,0.0007855,0.0007855,0.0007855
28,1153.45,0.53133,0.66053,1.04745,0.45286,0.54318,0.47612,0.34258,0.57334,1.2987,1.07498,0.00077725,0.00077725,0.00077725
29,1193.66,0.50566,0.64501,1.03658,0.41829,0.53932,0.45525,0.33208,0.55444,1.3501,1.06018,0.000769,0.000769,0.000769
30,1233.97,0.51856,0.6537,1.04446,0.46407,0.47522,0.43161,0.30198,0.61023,1.34951,1.10624,0.00076075,0.00076075,0.00076075
31,1274.3,0.50824,0.64858,1.04411,0.42292,0.50332,0.46948,0.33739,0.57576,1.4037,1.06146,0.0007525,0.0007525,0.0007525
32,1314.72,0.51373,0.64567,1.04458,0.42465,0.53453,0.48191,0.34199,0.52515,1.31752,1.0298,0.00074425,0.00074425,0.00074425
33,1354.88,0.51119,0.64279,1.04118,0.51112,0.54086,0.50402,0.36085,0.5475,1.20318,1.04779,0.000736,0.000736,0.000736
34,1394.9,0.49576,0.62439,1.03433,0.51176,0.60147,0.55128,0.4115,0.5434,1.20647,1.03701,0.00072775,0.00072775,0.00072775
35,1435.42,0.49299,0.62662,1.0292,0.42037,0.62081,0.44917,0.31279,0.55412,1.7291,1.03259,0.0007195,0.0007195,0.0007195
36,1476.05,0.50217,0.62694,1.02982,0.5182,0.47286,0.46961,0.33543,0.57129,1.37998,1.06476,0.00071125,0.00071125,0.00071125
37,1516.56,0.4951,0.61701,1.02748,0.43328,0.52148,0.48685,0.35205,0.55193,1.53948,1.04188,0.000703,0.000703,0.000703
38,1556.8,0.49015,0.60413,1.02477,0.47939,0.54093,0.4516,0.3235,0.54178,1.50205,1.02376,0.00069475,0.00069475,0.00069475
39,1597.3,0.48949,0.60943,1.02425,0.48562,0.50145,0.45456,0.32975,0.56584,1.41448,1.0666,0.0006865,0.0006865,0.0006865
40,1637.81,0.49404,0.61442,1.03576,0.47595,0.46762,0.45835,0.33922,0.55864,1.36501,1.05695,0.00067825,0.00067825,0.00067825
41,1678.12,0.48407,0.59822,1.02103,0.56475,0.51638,0.47274,0.35179,0.51612,1.19236,1.02435,0.00067,0.00067,0.00067
42,1718.7,0.49236,0.59143,1.02833,0.41293,0.68139,0.48116,0.35214,0.56815,1.44952,1.0657,0.00066175,0.00066175,0.00066175
43,1758.94,0.47677,0.58348,1.01596,0.47037,0.57555,0.48305,0.33974,0.57504,1.43484,1.08654,0.0006535,0.0006535,0.0006535
44,1799.2,0.47349,0.57773,1.0158,0.44459,0.55291,0.45887,0.34189,0.52913,1.40491,1.02351,0.00064525,0.00064525,0.00064525
45,1839.33,0.46748,0.57782,1.01346,0.4953,0.51623,0.49583,0.36253,0.55621,1.35231,1.05922,0.000637,0.000637,0.000637
46,1879.6,0.47358,0.57969,1.01486,0.46558,0.56726,0.49028,0.3664,0.54558,1.28232,1.04684,0.00062875,0.00062875,0.00062875
