epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.276,1.63772,3.59961,2.0095,0.03221,0.53344,0.02113,0.00778,2.09921,4.20481,2.88835,0.000329502,0.000329502,0.0673793
2,40.2572,1.56151,3.26393,1.93412,0.05086,0.10911,0.07098,0.02917,1.74252,3.25343,2.43355,0.000656273,0.000656273,0.0343727
3,51.9469,1.5864,3.09686,1.93436,0.1312,0.19076,0.13126,0.05883,1.89116,3.0002,2.44961,0.000976444,0.000976444,0.00135959
4,63.62,1.6041,2.96866,1.95672,0.42365,0.37896,0.25094,0.11382,1.86457,3.33703,2.56486,0.0009703,0.0009703,0.0009703
5,75.1435,1.58509,2.88714,1.93084,0.223,0.3118,0.2404,0.11667,1.76792,2.70805,2.36553,0.0009604,0.0009604,0.0009604
6,86.7559,1.60649,2.80235,1.93963,0.3495,0.34418,0.28012,0.12806,1.84589,2.83652,2.56461,0.0009505,0.0009505,0.0009505
7,98.3356,1.61884,2.81237,1.9492,0.44756,0.45838,0.41386,0.22103,1.64815,2.37769,2.25114,0.0009406,0.0009406,0.0009406
8,109.746,1.56293,2.68917,1.90147,0.3789,0.39886,0.34276,0.18251,1.65339,2.76834,2.26426,0.0009307,0.0009307,0.0009307
9,121.306,1.53713,2.64688,1.88759,0.33817,0.41174,0.33245,0.12991,2.02849,2.94739,2.76268,0.0009208,0.0009208,0.0009208
10,132.816,1.57546,2.60273,1.88947,0.33444,0.45641,0.39348,0.16593,1.96179,2.45911,2.63032,0.0009109,0.0009109,0.0009109
11,144.387,1.53345,2.57576,1.87978,0.55835,0.53605,0.57413,0.28506,1.7918,2.00365,2.37606,0.000901,0.000901,0.000901
12,156.102,1.54236,2.52368,1.88121,0.56959,0.48024,0.52587,0.25554,1.76246,2.22185,2.33916,0.0008911,0.0008911,0.0008911
